Index,Date/time,Latitude,Longitude,Albedo,Elevation,X_in_image,Y_in_image
729,2022-05-12 20:02:07.085628,-44.11746433465418,-73.63429835371636,136.0,64,0.0,14.0
729,2022-05-12 20:02:07.085628,-44.11746433465418,-73.26858333333332,159.0,74,0.0,15.0
729,2022-05-12 20:02:07.085628,-44.11746433465418,-72.90286831295029,155.0,850,0.0,16.0
729,2022-05-12 20:02:07.085628,-44.11746433465418,-72.53715329256724,138.0,986,0.0,17.0
729,2022-05-12 20:02:07.085628,-44.11746433465418,-72.1714382721842,171.0,324,0.0,18.0
729,2022-05-12 20:02:07.085628,-44.11746433465418,-71.80572325180115,178.0,872,0.0,19.0
729,2022-05-12 20:02:07.085628,-44.11746433465418,-71.44000823141812,166.0,902,0.0,20.0
729,2022-05-12 20:02:07.085628,-44.11746433465418,-71.07429321103508,160.0,849,0.0,21.0
729,2022-05-12 20:02:07.085628,-44.11746433465418,-70.70857819065203,86.0,866,0.0,22.0
729,2022-05-12 20:02:07.085628,-44.22588152715871,-74.00001337409941,142.0,147,1.0,13.0
729,2022-05-12 20:02:07.085628,-44.22588152715871,-72.90286831295029,151.0,943,1.0,16.0
729,2022-05-12 20:02:07.085628,-44.22588152715871,-72.53715329256724,161.0,919,1.0,17.0
729,2022-05-12 20:02:07.085628,-44.22588152715871,-72.1714382721842,180.0,478,1.0,18.0
729,2022-05-12 20:02:07.085628,-44.22588152715871,-71.80572325180115,176.0,523,1.0,19.0
729,2022-05-12 20:02:07.085628,-44.22588152715871,-71.44000823141812,147.0,577,1.0,20.0
729,2022-05-12 20:02:07.085628,-44.22588152715871,-71.07429321103508,184.0,768,1.0,21.0
729,2022-05-12 20:02:07.085628,-44.22588152715871,-70.70857819065203,186.0,959,1.0,22.0
729,2022-05-12 20:02:07.085628,-44.22588152715871,-70.342863170269,69.0,653,1.0,23.0
729,2022-05-12 20:02:07.085628,-44.33429871966325,-74.00001337409941,156.0,219,2.0,13.0
729,2022-05-12 20:02:07.085628,-44.33429871966325,-73.26858333333332,153.0,188,2.0,15.0
729,2022-05-12 20:02:07.085628,-44.33429871966325,-72.53715329256724,165.0,787,2.0,17.0
729,2022-05-12 20:02:07.085628,-44.33429871966325,-72.1714382721842,175.0,686,2.0,18.0
729,2022-05-12 20:02:07.085628,-44.33429871966325,-71.80572325180115,156.0,1463,2.0,19.0
729,2022-05-12 20:02:07.085628,-44.33429871966325,-71.44000823141812,174.0,888,2.0,20.0
729,2022-05-12 20:02:07.085628,-44.33429871966325,-70.342863170269,181.0,636,2.0,23.0
729,2022-05-12 20:02:07.085628,-44.33429871966325,-69.97714814988596,64.0,937,2.0,24.0
729,2022-05-12 20:02:07.085628,-44.442715912167785,-74.36572839448245,160.0,337,3.0,12.0
729,2022-05-12 20:02:07.085628,-44.442715912167785,-73.63429835371636,154.0,31,3.0,14.0
729,2022-05-12 20:02:07.085628,-44.442715912167785,-72.53715329256724,167.0,1243,3.0,17.0
729,2022-05-12 20:02:07.085628,-44.442715912167785,-72.1714382721842,148.0,555,3.0,18.0
729,2022-05-12 20:02:07.085628,-44.442715912167785,-71.80572325180115,171.0,1173,3.0,19.0
729,2022-05-12 20:02:07.085628,-44.442715912167785,-71.44000823141812,187.0,964,3.0,20.0
729,2022-05-12 20:02:07.085628,-44.442715912167785,-69.97714814988596,162.0,771,3.0,24.0
729,2022-05-12 20:02:07.085628,-44.442715912167785,-69.61143312950291,56.0,850,3.0,25.0
729,2022-05-12 20:02:07.085628,-44.55113310467232,-74.00001337409941,173.0,140,4.0,13.0
729,2022-05-12 20:02:07.085628,-44.55113310467232,-73.26858333333332,163.0,184,4.0,15.0
729,2022-05-12 20:02:07.085628,-44.55113310467232,-72.90286831295029,162.0,548,4.0,16.0
729,2022-05-12 20:02:07.085628,-44.55113310467232,-72.53715329256724,160.0,856,4.0,17.0
729,2022-05-12 20:02:07.085628,-44.55113310467232,-72.1714382721842,163.0,618,4.0,18.0
729,2022-05-12 20:02:07.085628,-44.55113310467232,-71.80572325180115,181.0,846,4.0,19.0
729,2022-05-12 20:02:07.085628,-44.55113310467232,-69.61143312950291,131.0,869,4.0,25.0
729,2022-05-12 20:02:07.085628,-44.55113310467232,-69.24571810911988,36.0,745,4.0,26.0
729,2022-05-12 20:02:07.085628,-44.659550297176864,-74.7314434148655,160.0,48,5.0,11.0
729,2022-05-12 20:02:07.085628,-44.659550297176864,-74.36572839448245,186.0,396,5.0,12.0
729,2022-05-12 20:02:07.085628,-44.659550297176864,-74.00001337409941,183.0,214,5.0,13.0
729,2022-05-12 20:02:07.085628,-44.659550297176864,-73.63429835371636,166.0,72,5.0,14.0
729,2022-05-12 20:02:07.085628,-44.659550297176864,-72.90286831295029,176.0,248,5.0,16.0
